delta_commission,alpha0,beta0,C_fixed,C_var,avg_farmer_payoff,avg_abs_gain,avg_pct_gain,gini_coefficient,ir_met_percentage,aggregator_profit_piA,total_farmer_value_vfN,V_potential_N,C_A_N,V_net_available_N,Surplus_N,R_N,is_in_core
0.0,1.25,0.0,10000,1500,25614.583333333332,3256.25,13.992001907394126,0.1313325199945777,100.0,0.0,307375.0,335375.0,28000,307375.0,39075.0,268300.0,True
0.05,1.25,0.0,10000,1500,25451.770833333332,3093.4375,13.283135541584143,0.13121654597725457,100.0,1953.75,305421.25,335375.0,28000,307375.0,39075.0,268300.0,True
0.1,1.25,0.0,10000,1500,25288.958333333332,2930.6250000000005,12.565111495476955,0.13084241757079973,100.0,3907.5,303467.5,335375.0,28000,307375.0,39075.0,268300.0,True
0.15000000000000002,1.25,0.0,10000,1500,25126.14583333334,2767.8125,11.839940477150831,0.13094536364888462,100.0,5861.250000000001,301513.75,335375.0,28000,307375.0,39075.0,268300.0,True
0.2,1.25,0.0,10000,1500,24963.333333333332,2604.9999999999995,11.137989761989326,0.13031784580347475,100.0,7815.0,299560.0,335375.0,28000,307375.0,39075.0,268300.0,True
0.25,1.25,0.0,10000,1500,24800.520833333332,2442.1875,10.425964773311723,0.13015780632733873,100.0,9768.75,297606.25,335375.0,28000,307375.0,39075.0,268300.0,True
0.30000000000000004,1.25,0.0,10000,1500,24637.708333333332,2279.375,9.692754325853686,0.13042615051547943,100.0,11722.500000000002,295652.5,335375.0,28000,307375.0,39075.0,268300.0,True
0.35000000000000003,1.25,0.0,10000,1500,24474.895833333332,2116.5624999999995,9.003818494914563,0.1297141397246139,100.0,13676.250000000002,293698.75,335375.0,28000,307375.0,39075.0,268300.0,True
0.4,1.25,0.0,10000,1500,24312.083333333332,1953.7499999999998,8.26499442864341,0.12988480331948946,100.0,15630.0,291745.0,335375.0,28000,307375.0,39075.0,268300.0,True
0.45,1.25,0.0,10000,1500,24149.270833333332,1790.9375,7.568632946334603,0.129275272322462,100.0,17583.75,289791.25,335375.0,28000,307375.0,39075.0,268300.0,True
0.5,1.25,0.0,10000,1500,23986.458333333332,1628.1249999999998,6.866648311661495,0.12889110729916084,100.0,19537.5,287837.5,335375.0,28000,307375.0,39075.0,268300.0,True
0.55,1.25,0.0,10000,1500,23823.645833333332,1465.3125,6.1384309023572525,0.12888512254641188,100.0,21491.25,285883.75,335375.0,28000,307375.0,39075.0,268300.0,True
0.6000000000000001,1.25,0.0,10000,1500,23660.833333333332,1302.4999999999998,5.430827067644405,0.12860113946316967,100.0,23445.000000000004,283930.0,335375.0,28000,307375.0,39075.0,268300.0,True
0.65,1.25,0.0,10000,1500,23498.020833333332,1139.6875000000002,4.72888653208176,0.1279899877058204,91.66666666666666,25398.75,281976.25,335375.0,28000,307375.0,39075.0,268300.0,True
0.7000000000000001,1.25,0.0,10000,1500,23335.208333333332,976.8749999999992,4.017665506120525,0.1278339236876799,91.66666666666666,27352.500000000004,280022.5,335375.0,28000,307375.0,39075.0,268300.0,True
0.75,1.25,0.0,10000,1500,23172.395833333332,814.0624999999997,3.2986943214953413,0.12748352912823813,91.66666666666666,29306.25,278068.75,335375.0,28000,307375.0,39075.0,268300.0,False
0.8,1.25,0.0,10000,1500,23009.583333333332,651.2499999999999,2.582188260902854,0.127371508851988,91.66666666666666,31260.0,276115.0,335375.0,28000,307375.0,39075.0,268300.0,False
0.8500000000000001,1.25,0.0,10000,1500,22846.770833333332,488.43749999999983,1.8725255840667128,0.12707722600649154,91.66666666666666,33213.75,274161.25,335375.0,28000,307375.0,39075.0,268300.0,False
0.9,1.25,0.0,10000,1500,22683.958333333332,325.62500000000045,1.1688067225423173,0.1264761077639913,83.33333333333334,35167.5,272207.5,335375.0,28000,307375.0,39075.0,268300.0,False
0.9500000000000001,1.25,0.0,10000,1500,22521.145833333332,162.81250000000014,0.44777099392287695,0.12650835017707124,75.0,37121.25,270253.75,335375.0,28000,307375.0,39075.0,268300.0,False
1.0,1.25,0.0,10000,1500,22358.333333333332,-3.0316490059097606e-13,-0.24595566913176917,0.12574446748043233,50.0,39075.0,268300.0,335375.0,28000,307375.0,39075.0,268300.0,False
