Price_per_Credit,Num_Winners,Total_Surplus,Total_Payments,Payments_Gini,IR_Met,Budget_Balance
500.0,0,0.0,0.0,0.0,True,0.0
684.2105263157895,0,0.0,0.0,0.0,True,0.0
868.421052631579,3,974.32,12816.0,0.22284644194756553,True,449.68421052631675
1052.6315789473683,5,4216.26,22682.0,0.21319107662463627,True,976.736842105267
1236.842105263158,13,10407.68,63115.0,0.2140537114790462,True,3066.3157894736796
1421.0526315789475,25,22705.74,162360.0,0.27660753880266076,True,8545.263157894718
1605.2631578947369,36,45703.74,269297.0,0.26833848873177196,True,15007.263157894748
1789.4736842105262,44,78456.32,356994.0,0.2662561937633788,True,2087.6842105263495
1973.6842105263158,63,126656.95,580720.0,0.26788201619445595,True,7641.052631578641
2157.8947368421054,82,189653.11,822096.0,0.28198184438491786,True,15733.89473684202
2342.105263157895,98,263980.63,1037208.0,0.2908924728694727,True,25020.368421052583
2526.315789473684,105,346868.58,1206010.0,0.2919240107382826,True,34178.42105263169
2710.5263157894738,123,435994.95,1538796.0,0.3012522280908163,True,49172.052631578874
2894.7368421052633,131,541355.42,1719990.0,0.3004490572885898,True,3121.578947367845
3078.9473684210525,148,664946.84,2110852.0,0.3131357654429381,True,14335.157894736622
3263.157894736842,161,796855.68,2439327.0,0.3132231612595254,True,27233.31578947371
3447.3684210526317,173,938077.21,2759470.0,0.31962850116711067,True,41495.78947368404
3631.5789473684213,182,1085163.05,3064266.0,0.3278398893482571,True,56664.94736842066
3815.789473684211,188,1239795.95,3365856.0,0.3258214160335755,True,72677.05263157887
4000.0,195,1401315.0,3701029.0,0.3262818737499968,True,90269.00000000047
