alpha,beta,utility_func_name,vcg_price_per_credit,shapley_samples,exact_shapley_threshold,core_check_threshold,n_farmers_analyzed,random_seed,shapley_calculation_method,shapley_values_gini,core_check_performed,is_shapley_in_core,blocking_coalitions_count,vcg_num_winners,vcg_total_surplus,vcg_total_payments,vcg_payments_gini,vcg_individual_rationality_met,vcg_budget_balance,vcg_efficiency_metric,avg_shapley_utility,computation_time_sec
1.0,0.0,linear,1500,1000,10,15,12,24004,monte_carlo,0.1205429245869052,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,22358.333333333332,4.018946647644043
1.0,0.0,linear,2000,1000,10,15,12,24004,monte_carlo,0.1205429245869052,True,True,0,5,3437.0,41469.0,0.3165834719911259,True,5409.0,3437.0,22358.333333333332,4.209299087524414
1.0,0.0,linear,2500,1000,10,15,12,24004,monte_carlo,0.1205429245869052,True,True,0,6,13348.0,65279.0,0.28824226269806014,True,9003.999999999993,13348.0,22358.333333333332,4.21610951423645
1.0,0.0,logarithmic,1500,1000,10,15,12,24004,monte_carlo,0.1205429245869052,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,9.989381274971231,4.205613613128662
1.0,0.0,logarithmic,2000,1000,10,15,12,24004,monte_carlo,0.1205429245869052,True,True,0,5,3437.0,41469.0,0.3165834719911259,True,5409.0,3437.0,9.989381274971231,4.206094264984131
1.0,0.0,logarithmic,2500,1000,10,15,12,24004,monte_carlo,0.1205429245869052,True,True,0,6,13348.0,65279.0,0.28824226269806014,True,9003.999999999993,13348.0,9.989381274971231,4.205693244934082
1.0,0.05,linear,1500,1000,10,15,12,24004,monte_carlo,0.12176440456978882,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,299959400.0,4.194857120513916
1.0,0.05,linear,2000,1000,10,15,12,24004,monte_carlo,0.11857410605679747,True,True,0,5,3437.0,41469.0,0.3165834719911259,True,5409.0,3437.0,299959400.0,4.201521396636963
1.0,0.05,linear,2500,1000,10,15,12,24004,monte_carlo,0.12303178381992881,True,True,0,6,13348.0,65279.0,0.28824226269806014,True,9003.999999999993,13348.0,299959400.0,4.260403156280518
1.0,0.05,logarithmic,1500,1000,10,15,12,24004,monte_carlo,0.12275050834657401,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,19.49267749220447,4.188556909561157
